Location,Name,Price,Rating,Cost,Hunger
Ortiz's Taco Shop #2,California,6,3.5,6.39,4
Pollos Maria,Carne asada,6,3.5,6.49,3
Mister Falafel,Chicken Shawarma,6,3.5,6.99,3
Cotixan,California,7,3.5,7.19,4
California burritos,Surf & Turf,6,3.5,6.75,4
Taco Villa,Carnitas,5,3.5,5.99,4
Lupe's Taco Shop,TGunz,10,3.5,10,4
Vallarta Express,California,7,3.5,7.8,4
Caliente Mexican Food,"carne asada ",5,3.5,5.56,2
Caliente Mexican Food,fried fish,5,3.5,5.56,3
Burrito Factory,"Steak everything ",7,3.5,7.35,3
Burrito Box,Steak with guacamole,11,3.5,11.5,3
Rigoberto's Taco Shop,Campeon,7,3.4,7.65,3
California Burritos,California Everything,6,3.4,6.25,3
Rubios UCSD,Grilled fish salmon,8,3.4,8.99,4
El Zarape,California,6,3.33333,6.25,4
"Porkyland ",Chicken nopalito,7,3.3,7.95,4
Lolita's taco shop,California,7,3.3,7,3
Jose's Taco,California,6,3.3,6.1,3
California Burrito Company,Dave's California,6,3.3,6.5,4
Vallarta express,Carne asada,6,3.25,6.5,2
Lucha Libre North Park,Veggie,5,3.25,5.25,3
Pollos Maria,combo chicken,6,3.2,6.99,4
El Zarape,Lobster,9,3.2,9.5,2
Sotos Mexican Food,Pastor,5,3.2,5.99,4
Netos Mexican Food,"California ",5,3.2,5.99,2
Albertacos,Carne asada,5,3.2,5.25,4
Rubios UCSD,Tilapia one,7,3.2,7.99,4
Taco Villa,Al pastor,5,3.2,5.99,4
Cortez Mexican Food,"California ",6,3.2,6.25,4
El Pollo Loco,Chicken avocado,5,3.2,5.99,2
El Rey Moro,Hashbrown,6,3.2,6.47,3
El Torrito Foods,Asada,5,3.1,5.49,4
El Portal Fresh Mexican Grill,Mahi,7,3.1,7.35,4
Famoso Mexican Street Food,Cali Diablo,10,3.1,10.5,3
Taco Villa,Pollo asado,5,3.1,5.99,4
Lourdes,California,6,3.1,6.35,3
Oscar's Mexican food,"California ",5,3,5.45,3
Oscar's Mexican food,Carnitas,4,3,4.85,4
Nico's Taco Shop,Carnitas,6,3,6.99,4
Tony's Fresh Mexican Food,Chile verde pork,6,3,6.95,4
Rigoberto's Taco Shop La Jolla,California,6,3,6.4,3
Lola's 7 Up Market & Deli,Carne asada,7,3,7,4
Colima's Mexican Food,Bandido,6,3,6.49,4
El Zarape,Azteca,6,3,6.25,3
"Qdoba Mexican Grill, Seatac Airport",Custom,9,3,9.5,4
Vallarta express,"Philly ",6,3,6.95,3
Rigoberto's Taco Shop,Surf & Turf,7,3,7.45,3
Rudy's Taco Shop,Carnitas,6,3,6.6,3
Jorge's Mexicatessen,Chimichanga beef,5,3,5.5,3
"Mi Asador Mexican & Seafood ","California ",6,3,6.89,3
Rigoberto's Taco Shop,Carne asada,6,3,6.6,3
